영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
베이컨시 2 : 퍼스트 컷,Vacancy 2 : The First Cut,2009,미국,장편,"공포(호러),스릴러",기타,에릭 브로스,
H2: 어느 살인마의 가족이야기 ,Halloween II,2009,미국,장편,"공포(호러),스릴러",개봉,롭 좀비,"디멘션 필름즈,스펙타클 엔터테인먼트 그룹,트랜카스 인태내셔널 필름"
피파 리의 특별한 로맨스,The Private Lives of Pippa Lee,2009,미국,장편,드라마,개봉,레베카 밀러,
퍼니 피플,Funny People,2009,미국,장편,"코미디,드라마",기타,주드 아패토우,
서기 1년,Year One,2009,미국,장편,"어드벤처,코미디",기타,해롤드 래미스,
행복한 상상,Imagine That,2009,"미국,독일",장편,"코미디,드라마,가족",기타,캐리 커크패트릭,
옵세스드,Obsessed,2009,미국,장편,"드라마,스릴러",기타,스티브 쉴,
아나콘다 4 : 피의 제전,Anaconda 4 : Trail Of Blood,2009,"루마니아,미국",장편,"액션,공포(호러)",기타,돈 E. 폰트르로이,
마가렛,Margaret,2009,영국,장편,드라마,기타,제임스 켄트,
파블로,Pablo,2009,미국,장편,애니메이션,기타,리차드 골드게위치트,
어드벤처랜드,Adventureland,2009,미국,장편,"코미디,멜로/로맨스",기타,그렉 모톨라,
아르카디아 로스트,Arcadia Lost,2010,미국,장편,드라마,기타,페든 파파마이클,
슈링크,Shrink,2009,미국,장편,드라마,기타,조나스 페이트,
셀터 ,Shelter,2010,미국,장편,"공포(호러),미스터리",기타,"만스 말린드,비욘 스테인",
꽃섬,Flower Island,2001,한국,장편,드라마,개봉,송일곤,씨앤필름(주)
교도소 월드컵,Prison World Cup,2001,한국,장편,코미디,개봉,방성웅,(주)신씨네
그녀에게 잠들다,Love Her,2001,한국,장편,멜로/로맨스,개봉,박성일,㈜필름지
리브스 오브 그래스,Leaves of Grass,2009,미국,장편,"코미디,범죄,드라마",기타,팀 블레이크 넬슨,
광시곡,The Rhapsody,2001,한국,장편,액션,개봉,장훈,씨네아이(주)
글래스하우스,THE GLASS HOUSE,2001,미국,장편,"스릴러,액션",개봉,다니엘 색하임,
그남자는 거기 없었다,THE Man Who Wasn't There,2001,미국,장편,"스릴러,코미디",개봉,조엘 코엔,
프레이어스 포 바비,Prayers for Bobby,2009,미국,장편,드라마,기타,러셀 멀케이,
찬드니 초우크 투 차이나,Chandni Chowk To China,2009,"인도,미국",장편,"액션,어드벤처,코미디",기타,닉힐 아드바니,
사운드 앤 사일런스 : ECM 이야기,Sounds and Silence,2009,스위스,장편,"드라마,다큐멘터리",기타,,
인 허 스킨,In Her Skin,2009,호주,장편,"드라마,스릴러",기타,시몬 노스,
윈터 퀸,The Winter Queen ,2014,"미국,러시아,영국",장편,"액션,범죄",기타,표도르 본다르추크,
디노 살루찌,The Encounter,2011,스페인,장편,다큐멘터리,기타,,
옵저브 앤 리포트,Observe and Report,2009,미국,장편,코미디,기타,조디 힐,
올 굿 에브리씽,All Good Things,2010,미국,장편,"미스터리,드라마",기타,앤드류 재러키,
온딘,Ondine,2009,"아일랜드,미국",장편,"드라마,멜로/로맨스",기타,닐 조단,
엠마의 전쟁,Emma's War,2009,미국,장편,드라마,기타,토니 스콧,
제노바,Genova,2008,영국,장편,"드라마,가족",개봉,마이클 윈터바텀,레볼루션 필름
에브리바디 파인,Everybody's Fine,2009,미국,장편,"어드벤처,드라마",기타,커크 존스,
"아이, 루시퍼","I, Lucifer",2009,영국,장편,"코미디,판타지",기타,댄 해리스,
미들 맨,Middle Men,2009,미국,장편,"코미디,범죄",기타,조지 갈로,
그곳에선 아무도 거짓말을 하지 않는다 ,The Invention of Lying,2009,미국,장편,"코미디,멜로/로맨스",기타,"리키 제바이스,매튜 로빈슨",
더 보이스 아 백,The Boys Are Back,2009,"호주,영국",장편,드라마,기타,스콧 힉스,
네일드,Nailed,2010,미국,장편,"코미디,멜로/로맨스",기타,데이빗 O. 러셀,
낫 이즐리 브로큰,Not Easily Broken,2009,미국,장편,"드라마,멜로/로맨스",기타,빌 듀크,
한나 몬타나 : 더 무비,Hannah Montana : The Movie,2009,미국,장편,"코미디,가족",기타,피터 첼섬,
푸드파이트!,Foodfight!,2009,미국,장편,"애니메이션,액션,코미디",기타,로렌스 카사노프,
"아이 러브 유, 베스 쿠퍼","I Love You, Beth Cooper",2009,"캐나다,미국",장편,"코미디,멜로/로맨스",기타,크리스 콜럼버스,
아사히야마 동물원 이야기,Penguins In The Sky - Asahiyama Zoo,2009,일본,장편,드라마,기타,츠가와 마사히코,
신 놈브레,Sin Nombre,2009,"멕시코,미국",장편,"어드벤처,범죄,드라마",기타,캐리 후쿠나가,
알러뷰 맨,"I Love You, Man",2009,미국,장편,"코미디,멜로/로맨스",기타,존 햄버그,
마디아 감옥가다,Madea Goes To Jail,2009,미국,장편,"코미디,범죄,드라마",기타,타일러 페리,
돈 맥케이,Don McKay,2009,미국,장편,"스릴러,미스터리",기타,제이크 골드버거,
G-포스: 기니피그 특공대,G-Force,2008,미국,장편,"가족,어드벤처,액션",개봉,호이트 예이트만,월트 디즈니 픽쳐스
헤븐스 도어,Heaven's Door,2009,일본,장편,드라마,기타,마이클 아리아스,
포프 조안,Pope Joan,2009,"독일,영국,이탈리아,스페인",장편,"드라마,멜로/로맨스",기타,손케 보르트만,
에일리언 트레스패스,Alien Trespass,2009,"미국,캐나다",장편,"코미디,공포(호러),SF",기타,R.W. 굿윈,
스페이스 버디즈,Space Buddies,2009,"미국,캐나다",장편,"어드벤처,가족,판타지",기타,로버트 빈스,
스바루,Subaru,2009,"중국,싱가포르,일본,한국,홍콩",장편,드라마,기타,이지의,
슈퍼 캐퍼스,Super Capers,2009,미국,장편,"액션,어드벤처,코미디",기타,레이 그릭스,
쇼츠,Shorts,2009,"미국,아랍에미리트연합국정부",장편,"코미디,가족,판타지",기타,로버트 로드리게즈,
브라더스 앳 워,Brothers at War,2009,미국,장편,"다큐멘터리,전쟁",기타,제이크 레이드마처,
바이 바이 샐리,Bye Bye Sally,2009,미국,단편,스릴러,기타,폴 레이든,
건블라스트 보드카,Gun Blast Vodka,2000,프랑스,장편,코미디,개봉,장 루이 다니엘,
넥스트 데이 에어,Next Day Air,2009,미국,장편,"액션,코미디,범죄",기타,베니 붐,
스톨른,Stolen,2012,미국,장편,"액션,스릴러",개봉,사이먼 웨스트,
KT디지털영상전-경이로운 만남,KT Digital Film&Vidio Festival,2008,한국,장편,"다큐멘터리,드라마",기타,,
테트로,Tetro,2009,"미국,이탈리아,스페인,아르헨티나",장편,드라마,기타,프란시스 포드 코폴라,
타이슨,Tyson,2008,미국,장편,다큐멘터리,기타,제임스 토백,
오슬로의 이상한 밤,O' Horten,2007,노르웨이,장편,"코미디,드라마",개봉,벤트 해머,
아머드,Armored,2009,미국,장편,"액션,범죄,스릴러",기타,님로드 안탈,
비욘드 리저너블 다우트,Beyond A Reasonable Doubt,2009,미국,장편,"드라마,미스터리",기타,피터 하이암스,
블랙 워터 트랜시트,Black Water Transit,2009,미국,장편,"범죄,드라마",기타,토니 케이,
루도와 쿠르시 ,Rough and Vulgar,2009,"미국,멕시코",장편,"코미디,드라마",기타,카를로스 쿠아론,
금발이 너무해 3,Legally Blondes,2009,미국,장편,"코미디,가족",기타,새비지 스티브 홀랜드,
걸프렌드 익스피어리언스,The Girlfriend Experience,2009,미국,장편,코미디,기타,스티븐 소더버그,
60세의 러브레터,Love Letters at Sixty,2009,일본,장편,드라마,기타,후카가와 요시히로,
험프데이,Humpday,2009,미국,장편,코미디,기타,린 쉘튼,
한여름의 오리온,Last Operations Under The Orion,2009,일본,장편,"전쟁,드라마",기타,시노하라 테츠오,
포스트 그래드,Post Grad,2009,미국,장편,"코미디,멜로/로맨스",기타,비키 젠슨,
영혼을 빌려드립니다,Cold Souls,2009,미국,장편,"코미디,드라마",기타,소피 바르트,
커플 테라피: 대화가 필요해,Couples Retreat,2009,미국,장편,코미디,개봉,피터 빌링슬레이,유니버셜 픽쳐스
중력 피에로,A Pierrot,2009,일본,장편,드라마,기타,모리 준이치,
좀비랜드,Zombieland,2009,미국,장편,"코미디,공포(호러)",기타,루벤 플레셔,
엑스트랙트,Extract,2009,미국,장편,코미디,기타,마이크 저지,
트리플 X2 : 넥스트 레벨,Xxx: State Of The Union,2005,미국,장편,"범죄,액션,스릴러,어드벤처",개봉,리 타마호리,레볼루션 스튜디오
앤서 맨,The Answer Man,2009,미국,장편,"코미디,멜로/로맨스",기타,존 하인드맨,
여배우들,The Actresses,2009,한국,장편,드라마,개봉,이재용,주식회사 뭉클픽쳐스
아더와 미니모이 2 : 셀레니아 공주 구출 작전,Arthur And The Revenge Of Maltazard,2009,프랑스,장편,"판타지,어드벤처,애니메이션",개봉,뤽 베송,"유로파 Corp.,TF1 필름 프로덕션,까날 플러스"
개구리중사 케로로,Sergent Keroro - The Supuer Duper Movie,2006,일본,장편,"애니메이션,코미디",개봉,사토 준이치,TV 토쿄
스텝파더,The Stepfather,2009,미국,장편,"미스터리,스릴러",기타,넬슨 맥코믹,
걸스 온 탑,Girls On Top,2001,독일,장편,코미디,개봉,데니스 간젤,
스모킹 에이스 2,Smokin' Aces 2: Assassins' Ball,2010,"미국,캐나다",장편,"액션,코미디,범죄",기타,P.J. 페스,
굳세어라 금순아,Saving My Hubby,2002,한국,장편,"코미디,드라마",개봉,현남섭,"PMC 프로덕션,아인스필름(주)"
루키즈 졸업,Rookies 卒業,2009,일본,장편,드라마,기타,히라카와 유이치로,
긴급조치 19호,Emergency Measure 19,2002,한국,장편,코미디,개봉,김태규,(주)소스원프로덕션
가디언의 전설,Legend Of The Guardians: The Owls Of Ga'Hoole,2010,"미국,호주",장편,"애니메이션,어드벤처,판타지",개봉,잭 스나이더,워너 브러더스 픽쳐스
들어는 봤니? 모건 부부,Did You Hear About The Morgans?,2009,미국,장편,"코미디,멜로/로맨스",개봉,마크 로렌스,콜럼비아 픽쳐스 코포레이션
두꺼비 기름,Toad's Oil,2009,일본,장편,드라마,기타,야쿠쇼 코지,
감염·예언,感染·予言,2004,일본,장편,공포(호러),기타,츠루다 노리오,도호쿠신샤
돈주,Dumbeast,2009,일본,장편,"코미디,드라마",기타,호소노 히데아키,
그 남자가 아내에게,A Good Husband,2009,일본,장편,"드라마,멜로/로맨스",개봉,유키사다 이사오,"덴츠,도에이"
골!,GOAL!,2005,미국,장편,드라마,개봉,대니 캐넌,
그림형제 : 마르바덴 숲의 전설,The Brothers Grimm,2005,미국,장편,"판타지,가족,어드벤처",개봉,테리 길리엄,"디멘션 필름즈,메트로-골드윈-마이어"
굿 우먼,A Good Woman,2004,"미국,스페인,룩셈부르크,영국",장편,드라마,개봉,마이크 베이커,
그녀는 요술쟁이,Bewitched,2005,미국,장편,"코미디,멜로/로맨스,판타지",개봉,노라 에프론,"콜럼비아 픽쳐스 코포레이션,레드 웨건 프로덕션"
구름의 남쪽,South of the Clouds,2004,중국,장편,드라마,개봉,주문,
극장판 도라에몽: 진구의 인어대해전,Eiga Doraemon: Nobita no ningyo daikaisen,2010,일본,장편,"애니메이션,가족,판타지",개봉,쿠스바 고조,"TV 아사히,토호 컴퍼니"
윌리엄 켄트리지 - 불가능은 없다,William Kentridge - Anything Is Possible,2010,미국,장편,다큐멘터리,기타,수잔 솔린스,
데드 스노우,Dead Snow,2009,노르웨이,장편,"코미디,공포(호러)",기타,토미 위르콜라,
헤이트 발렌타인데이,I Hate Valentine'S Day,2009,미국,장편,"멜로/로맨스,코미디",개봉,니아 발다로스,블루스타 픽쳐스
화이트 온 라이스,White on Rice,2009,미국,장편,코미디,기타,데이브 보일,
포비든 도어,The Forbidden Door,2009,인도네시아,장편,스릴러,기타,조코 안와르,
더 코브: 슬픈 돌고래의 진실,The Cove,2009,미국,장편,다큐멘터리,개봉,루이 시호요스,
친밀,Claustrophobia,2009,홍콩,장편,"드라마,멜로/로맨스",기타,안서,
창해상전,An Unusually Lucky Person,2009,중국,장편,애니메이션,기타,메이 셩,
기타리스트: 열정을 부르는 선율,It Might Get Loud,2008,미국,장편,다큐멘터리,기타,데이비스 구겐하임,
인 더 루프,In The Loop,2009,영국,장편,코미디,기타,아만도 이아누치,
위핏,Whip It,2009,미국,장편,"드라마,코미디",개봉,드류 베리모어,맨데이트 픽쳐스
야마가타 스크림,Yamagata Scream,2009,일본,장편,"코미디,공포(호러)",기타,타케나카 나오토,
아이 캔 두 배드 올 바이 마이셀프,I Can Do Bad All by Myself,2009,미국,장편,코미디,기타,타일러 페리,
아말피 여신의 보수,Amalfi: Rewards of the Goddess,2009,일본,장편,"스릴러,미스터리",기타,니시타니 히로시,
브라이트 스타,Bright Star,2009,"영국,호주,프랑스",장편,"드라마,멜로/로맨스",기타,제인 캠피온,
뮤,MW,2009,일본,장편,"드라마,스릴러",기타,이와모토 히토시,
레드: 더 레전드,RED2,2012,미국,장편,"액션,코미디,범죄",개봉,딘 패리소트,
마더후드,Motherhood,2009,미국,장편,코미디,기타,캐서린 디에크만,
우리 의사 선생님,Dear Doctor,2009,일본,장편,드라마,개봉,니시카와 미와,"반다이비쥬얼컴패니,덴츠,에이세이 게키요,TV 맨 유니온"
컴플라이언스,Compliance,2012,미국,장편,"범죄,드라마,스릴러",개봉,크레이그 조벨,
개구쟁이 스머프 2,The Smurfs 2,2013,미국,장편,"애니메이션,코미디,가족",개봉,라자 고스넬,
화천의 성,Castle Under Fiery Skies,2009,일본,장편,드라마,기타,타나카 미츠토시,
금발의 초원,Across A Gold Prairie,2000,일본,장편,멜로/로맨스,개봉,이누도 잇신,
더 독,The Dog,2013,한국,장편,SF,촬영준비,신정원,"(주)뱅가드스튜디오,(주)다세포클럽"
글래스톤베리,Glastonbury,2006,영국,장편,다큐멘터리,개봉,줄리언 템플,한웨이필름
발칙한 로맨스(가제),Fly Me To The Moon,2013,"한국,일본",장편,"멜로/로맨스,코미디",촬영준비,권수경,(주)영화사바다
그린 존,Green Zone,2009,미국,장편,"드라마,전쟁,액션",개봉,폴 그린그래스,유니버셜 픽쳐스
그루지,The Grudge,2004,일본,장편,공포(호러),개봉,시미즈 다카시,고스트하우스픽처스
캐리어스,Carriers,2009,미국,장편,"공포(호러),스릴러",기타,"데이빗 패스터,알렉스 패스터",
거북이도 난다,Turtles Can Fly,2004,이란,장편,드라마,개봉,바흐만 고바디,"마아지 필름,백필름즈"
츠루기다케 점의 기록,Tsurugidake: Ten No Ki,2009,일본,장편,드라마,기타,기무라 다이사쿠,
재생호,Written by,2009,홍콩,장편,"드라마,판타지",기타,위가휘,
사랑은 너무 복잡해,It'S Complicated,2009,미국,장편,"멜로/로맨스,코미디",개봉,낸시 마이어스,유니버셜 픽쳐스
원더풀 월드,Wonderful World,2009,미국,장편,"드라마,멜로/로맨스",기타,조슈아 골딘,
슈퍼히어로,ILLUSIONAUTS,2012,페루,장편,"애니메이션,SF,어드벤처",개봉,에두와르도 슐츠,
올 어바웃 스티브,All About Steve,2009,미국,장편,코미디,기타,필 트레일,
초(민망한)능력자들,The Men Who Stare at Goats,2009,"미국,영국",장편,코미디,개봉,그랜트 헤스로브,
여자 이야기,Your Story,2009,일본,장편,드라마,기타,모리오카 토시유키,
아이 엠 어 고스트,I Am a Ghost,2012,미국,장편,"드라마,공포(호러),스릴러",기타,H.P. 멘도자,
빅 팬,Big Fan,2009,미국,장편,"코미디,드라마",기타,로버트 D. 시겔,
발라드 이름 없는 사랑 노래,BALLAD ,2009,일본,장편,"멜로/로맨스,판타지",기타,야마자키 타카시,
남극의 쉐프,The Chef Of South Polar,2009,일본,장편,"코미디,드라마",개봉,오키타 슈이치,Parade 
나와 엄마의 노란 자전거,,2009,일본,장편,"드라마,가족",기타,코노 케이타,
폭렬닌자 고에몬,Goemon,2009,일본,장편,"액션,드라마",기타,키리야 카즈아키,
"열여덟, 열아홉",Hoya,2010,한국,장편,멜로/로맨스,개봉,배광수,영화사 도로시(주)
인스턴트 늪,Instant Swamp,2009,일본,장편,코미디,기타,미키 사토시,
갱스 오브 뉴욕,Gangs Of New york,2002,미국,장편,"드라마,범죄,사극",개봉,마틴 스코세이지,
기묘한 이야기,Tales of the Unusual,2000,일본,장편,"공포(호러),드라마,판타지",개봉,"호시 마모루,오치아이 마사유키,오구라 히사오,스즈키 마사유키",
검은 물밑에서,Dark Water,2002,일본,장편,공포(호러),개봉,나카타 히데오,
블러드 앤 본,Blood and Bone,2009,미국,장편,"액션,드라마",기타,벤 램지,
공자 춘추전국시대,Confucius,2009,중국,장편,"드라마,액션,사극",개봉,후메이,베이징 다디 센츄리
갱스터 초치,Tsotsi,2005,"영국,남아프리카공화국",장편,"드라마,스릴러",기타,개빈 후드,
월드 트레져: 솔로몬의 보물을 찾아서,The Librarian: Return to King Solomon's Mines,2006,미국,장편,"액션,어드벤처",기타,조나단 플레이크,
삼인삼색-사이버러버,,2008,한국,장편,"판타지,코미디",기타,김성진,
꼬마 니콜라,Little Nicholas,2009,프랑스,장편,"가족,코미디",개봉,로랑 티라르,피델라이트프로덕션
공주와 개구리,The Princess And The Frog,2009,미국,장편,"애니메이션,멜로/로맨스",개봉,"존 머스커,론 클레멘츠",월트디즈니 애니메이션 스튜디오
극장판파워레인저 엔진포스VS 와일드스피릿,Engine Sentai Go-onger VS Gekiranger,2009,일본,장편,"SF,액션",개봉,모로타 사토시,
킬러빈 포에버,Killer Bean Forever,2009,미국,장편,"애니메이션,액션",기타,제프 류,
더 밴드,The Band,2008,한국,단편,드라마,기타,태소정,
미완성생활사,The Unfinished History of Life,2010,중국,장편,다큐멘터리,기타,총 펑,
아이언 도어,Iron Doors,2010,독일,장편,"미스터리,스릴러",개봉,스티븐 마누엘,
공모자,Complices,2008,프랑스,장편,"범죄,스릴러",기타,프레더릭 메르무드,
버스 팔라디움,Bus Palladium,2009,프랑스,장편,코미디,기타,크리스토퍼 톰슨,
빛나는 모든 것,Tout Ce Qui Brille,2009,프랑스,장편,코미디,기타,"허브 밈란,제랄딘 나카슈",
모두 다 따를 것이다,Qu'un seul tienne et les autres suivront,2009,프랑스,장편,드라마,기타,레아 페흐너,
다른 사람,L'Autre,2008,프랑스,장편,드라마,기타,"패트릭-마리오 버나드,피에르 트리비딕",
터키 형님,Turk's Head,2009,프랑스,장편,"범죄,드라마",기타,파스칼 엘비,
스파이(들),Spy(ies),2009,"프랑스,영국",장편,"드라마,멜로/로맨스,스릴러",기타,니콜라스 사다,
떠도는 삶,Floating Lives,2010,"베트남,싱가포르",장편,"드라마,멜로/로맨스",기타,응유엔 판쿠앙빈,
영원,Eternity,2010,태국,장편,드라마,기타,시바로지 콩사쿤,
향기의 상실,Magic and Loss,2010,일본,장편,드라마,기타,림카와이,
"신씨, 탄광마을의 세레나데",Forget Me Not,2009,일본,장편,드라마,기타,히라야마 히데유키,
엄마 시집 보내기,"Here Comes The Bride, My Mom",2010,일본,장편,드라마,기타,오미보,
라이브 테이프,Live Tape,2009,일본,장편,다큐멘터리,기타,마츠에 테츠아키,
작전규정,Standard Operating Procedure,2008,미국,장편,다큐멘터리,기타,에롤 모리스,
저니 오브 어 드림,Journey of a Dream,2010,"캐나다,인도,미국,중국",장편,다큐멘터리,기타,쉔펜 킴사르,
셈슉,Semshook,2010,"스페인,인도",장편,드라마,기타,시다르트 아난드 쿠마르,
툴쿠,Tulku,2009,캐나다,장편,다큐멘터리,기타,게사르 묵포,
네가 원한다면,Anything You Want,2010,스페인,장편,드라마,개봉,아케로 마나스,
"티베트, 티베트","Tibet, Tibet",2008,일본,장편,다큐멘터리,기타,김승용,
물을 찾는 불 위의 여자,Woman on fire looks for water,2009,말레이시아,장편,드라마,기타,우밍진,
잃어버린 벽,Lost Wall,2010,중국,장편,다큐멘터리,기타,반지기,
창추안마을,The Village Elementary,2010,중국,장편,다큐멘터리,기타,황미,
체인드,Chained,2012,미국,장편,"스릴러,범죄",개봉,제니퍼 챔버스 린치,
서랍민족,Chinese Closet,2009,중국,장편,다큐멘터리,기타,범파파,
인디고공장,Indigo Factory,2009,중국,장편,다큐멘터리,기타,나려매,
독짓는 늙은이,The Old Potter,2011,한국,장편,드라마,기타,소재익,
에어라인 플라이트,Airline Disaster,2010,미국,장편,"스릴러,액션",개봉,존 윌리스 3세,
더 트랩: 난간 끝에 선 남자,The Ledge,2011,미국,장편,"스릴러,드라마",개봉,매튜 채프먼,
줄리아 엑스,Julia X,2011,미국,장편,"공포(호러),스릴러",개봉,P.J. 페티에트,
헬로 스트레인저,Hello Stranger,2010,"한국,태국",장편,"코미디,멜로/로맨스",기타,반종 피산다나쿤,한태교류센터KTCC 
밀레니엄 제 1부 : 여자를 증오한 남자들,The Girl With The Dragon Tattoo,2009,"스웨덴,덴마크",장편,스릴러,개봉,닐스 아르덴 오플레브,
블러드 스프링,RITES OF SPRING,2012,미국,장편,"공포(호러),스릴러",개봉,패드레이그 레이놀즈,
컴다운,Comedown,2012,영국,장편,"공포(호러),스릴러",개봉,멘하이 후다,
트랜스 번호: 미정,Trans#: Working Title,2008,프랑스,장편,다큐멘터리,기타,이은진,
까란초,Carancho,2010,아르헨티나,장편,"범죄,드라마,멜로/로맨스",기타,파블로 트라페로,
연기 수업,The Last Acting Lesson,2010,한국,장편,드라마,기타,서승만,상상나눔
진위,Jin Wie,2009,한국,장편,드라마,기타,최영태,
뜨거운 욕망,A BURNING DESIRE,2011,프랑스,장편,"코미디,멜로/로맨스",개봉,베르나드 진진,
"태백, 잉걸의 땅","Taebaek, Land of Embers",2008,한국,장편,다큐멘터리,기타,김영조,
빌로바 개발 소동,Biloba,2009,그리스,장편,코미디,기타,소피아 파파크리스투,
"세번, 우리 아이들의 목소리","Severn, the Voice of Our Children",2010,프랑스,장편,다큐멘터리,기타,장 폴 조,
운 좋은 코끼리 플로라,One Lucky Elephant,2009,미국,장편,다큐멘터리,기타,리사 리먼,
슬픈 피에로,Sad Pierrot,2010,한국,장편,다큐멘터리,기타,박환성,
파이프,The Pipe,2010,아일랜드,장편,다큐멘터리,기타,리스테드 오돔네일,
체르노빌 - 다시 쓰는 자연사,Chernobyl: A Natural History,2010,프랑스,장편,다큐멘터리,기타,뤽 리올롱,
충전! 세상을 바꾸는 에너지,Powerful: Energy For Everyone,2010,캐나다,장편,다큐멘터리,기타,데이비드 체르누셴코,
소리를 찾아서,Soundtracker,2010,미국,장편,다큐멘터리,기타,닉 셔먼,
사막에서 온 편지,Letters from the Desert (Eulogy to Slowness),2010,이탈리아,장편,다큐멘터리,기타,미첼라 오치핀티,
플라스틱 행성,Plastic Planet,2009,"오스트리아 ,독일",장편,다큐멘터리,기타,베르너 부테,
행복의 경제학,The Economics of Happiness,2010,"호주,미국",장편,다큐멘터리,기타,,
야쿠바씨의 사막 농사 일기,The Man Who Stopped the Desert,2010,영국,장편,다큐멘터리,기타,마크 도드,
논짱 도시락,Nonchan noriben,2009,일본,장편,"드라마,가족",기타,오가타 아키라,
행복의 향기,Flavor of Happiness,2008,일본,장편,드라마,기타,미하라 미츠히로,
사랑에 대하여,Pro lyuboff,2010,러시아,장편,드라마,기타,올가 수보티나,
낙원은 서쪽이다,Eden is West,2009,"프랑스,그리스,이탈리아",장편,드라마,기타,코스타 가브라스,
범죄의 군대,The Army Of Crime,2009,프랑스,장편,"드라마,전쟁",기타,로베르 게디기앙,
마린 스토리,A Marine Story,2010,미국,장편,드라마,기타,네드 파,
걸스 온 탑2,Girls On Top 2,2004,독일,장편,코미디,개봉,피터 게르시나,올가 필름
좀비,The Dead,2010,영국,장편,공포(호러),기타,"하워드 J. 포드,조나단 포드",
국도20호선,Off Highway 20,2007,일본,장편,드라마,기타,카츠야 도미타,
아이즈 와이드 오픈,Eyes Wide Open,2009,"이스라엘,독일,프랑스",장편,드라마,기타,하임 타박만,
곧 돌아오겠음,Back Soon,2008,"프랑스,아이슬란드",장편,코미디,기타,솔베이그 안스팍,
완전한 가족,The Family Complete,2010,일본,장편,드라마,기타,이마이즈미 코이치,
사랑에 대한 모든 것,All About Love,2010,홍콩,장편,"코미디,멜로/로맨스",기타,허안화,
바이올렛의 취향,Violet Tendencies,2010,미국,장편,"코미디,드라마",기타,캐스퍼 안드레아스,
모르몬 발의안 8,8 : The Mormon Proposition,2010,미국,장편,다큐멘터리,기타,"리드 코완,스티븐 그린스트리트",
사랑할 수 없는 시간,The Time of Lovelessness,2011,한국,장편,다큐멘터리,기타,김희철,다큐아이
날  놓아줘,Please release me,2009,한국,장편,드라마,기타,김중현,한국영화아카데미
엽기적인 그녀 2,My Sassy Girl 2,2010,중국,장편,"코미디,드라마,멜로/로맨스",기타,마위호,
하늘의 노래,Sky Song,2010,에스토니아,장편,애니메이션,기타,마티 꾸뜨,
초코초코 대작전,Chocolate Underground,2008,일본,장편,"애니메이션,드라마",개봉,하마나 타카유키,
더 패키지: 일급비밀,The Package,2013,미국,장편,"액션,스릴러",개봉,제시 V. 존슨,
인턴쉽,The Internship,2013,미국,장편,코미디,기타,숀 레비,
이매진,Imagine,2010,한국,장편,드라마,기타,김수정,
네덜란드에서 가장 힘 센 사나이,The Strongest Man in Holland,2011,네덜란드,장편,"드라마,가족",기타,마크 데 크로에,
노아의 홍수,The Flood,2011,이스라엘,장편,드라마,기타,기 나티브,
마술사들,The Magicians,2010,네덜란드,장편,가족,기타,요람 뤼르센,
무엇보다 먼저인 삶,"Life, Above All",2010,"남아프리카공화국,독일",장편,드라마,기타,올리버 슈미츠,
리바운스,Rebounce,2011,덴마크,장편,드라마,기타,헤이디 마리아 파이스트,
심플 사이먼,Simple Simon,2010,스웨덴,장편,"코미디,멜로/로맨스",기타,안드레아스 외만,
웨스트 이즈 웨스트,West is West,2010,영국,장편,"코미디,드라마",기타,앤디 드엠모니,
촌마게 푸딩,A Boy and His Samurai,2010,일본,장편,코미디,기타,나카무라 요시히로,
카를라와 요나스,Karla and Jonas,2010,덴마크,장편,"가족,드라마",기타,샤롯 사쉬 보스트룹,
리버풀의 골키퍼,The Liverpool Goalie,2010,노르웨이,장편,코미디,기타,아릴드 안드레센,
"트윅슨, 결혼하다",Twigson Ties the Knot,2010,노르웨이,장편,"어드벤처,코미디",기타,마틴 룬드,
수양 가정의 아이들,Forever Yours,2011,핀란드,장편,다큐멘터리,기타,미아 핼미,
프로젝트: 행복을 찾아서,Project Happiness,2011,"미국,인도",장편,"다큐멘터리,가족",기타,존 소렌센,
서도걸즈!! 우리들의 갑자원,Shodo Girls!!,2010,일본,장편,드라마,기타,이노마타 류이치,
뷰티풀 보이,Beautiful Boy,2010,미국,장편,드라마,기타,숀 쿠,
너에게 닿기를,From Me To You,2010,일본,장편,"드라마,멜로/로맨스",기타,쿠마자와 나오토,
우리 할아버지는 은행 강도,"My Granpa, the Bankrobber",2010,네덜란드,장편,"코미디,가족",기타,이네케 하우트만,
지터스,Jitters,2010,아이슬란드,장편,드라마,기타,발트빈 조포니아손,
콤플렉스,The Complex,2013,일본,장편,공포(호러),개봉,나카타 히데오,
드래곤 에이지,Dragon Age: Dawn Of The Seeker,2012,미국,장편,"애니메이션,판타지",개봉,소리 후미히코,
더 울버린,The Wolverine,2013,미국,장편,"액션,SF",개봉,제임스 맨골드,
글래디에이터: 로마 영웅 탄생의 비밀 3D 확장 감독판,Gladiatori di Roma,2013,이탈리아,장편,"애니메이션,액션,어드벤처",개봉,이기니오 스트라피,
극장판 도라에몽: 진구의 비밀도구 박물관,DORAEMON THE MOVIE NOVITAIN THE SECRET GADRETS MUSEUM,2013,일본,장편,"애니메이션,어드벤처",개봉,테라모토 유키요,
우리 할머니는 점쟁이,Life is Wonderful,2010,대만,장편,드라마,기타,루 룰루,
해 질 무렵,Dusk,2010,네덜란드,장편,드라마,기타,한로 스미츠만,
