순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
82,변산,이준익,변산문화산업전문(유),,메가박스중앙(주)플러스엠,2018-07-04,개봉영화,장편,한국,763,"3,886,052,473","474,137","1,063,654,573","126,389",드라마,15세이상관람가,일반영화
83,동네사람들,임진순,(주)에이치에스이디,,(주)리틀빅픽쳐스,2018-11-07,개봉영화,장편,한국,731,"3,797,676,112","459,020","709,340,562","82,070",액션,15세이상관람가,일반영화
84,원더풀 고스트,조원희,(주)데이드림엔터테인먼트,,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2018-09-26,개봉영화,장편,한국,351,"3,720,931,600","450,374","783,246,100","92,593",코미디,12세이상관람가,일반영화
85,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩",,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,개봉영화,장편,한국,"1,426","3,494,678,900","438,447","858,106,500","105,608",액션,15세이상관람가,일반영화
86,감쪽같은 그녀,허인무,(주)지오필름,,메가박스중앙(주)플러스엠,2019-12-04,개봉영화,장편,한국,761,"3,377,511,790","436,205","658,294,480","83,166",드라마,전체관람가,일반영화
87,흥부: 글로 세상을 바꾼 자,조근현,"(주)영화사 궁,(주)발렌타인필름",,롯데쇼핑㈜롯데엔터테인먼트,2018-02-14,개봉영화,장편,한국,627,"3,381,050,200","416,303","886,785,300","107,570",사극,12세이상관람가,일반영화
88,극장판 공룡메카드: 타이니소어의 섬,"최신규,유재운",(주)초이락컨텐츠팩토리,,(주)넥스트엔터테인먼트월드(NEW),2019-01-10,개봉영화,장편,한국,763,"3,140,214,420","410,131","535,720,640","66,881",애니메이션,전체관람가,일반영화
89,러브 유어셀프 인 서울,,"빅히트 엔터테인먼트,씨제이 씨지브이(CJ CGV)(주)",,씨제이 씨지브이(CJ CGV)(주),2019-01-26,개봉영화,장편,한국,224,"3,209,682,900","342,366","1,090,468,000","112,697",공연,전체관람가,일반영화
90,허스토리,민규동,(주)수필름,,(주)넥스트엔터테인먼트월드(NEW),2018-06-27,개봉영화,장편,한국,696,"2,521,025,949","336,822","774,252,049","101,169",드라마,12세이상관람가,일반영화
91,브링 더 소울 : 더 무비,박준수,"빅히트 엔터테인먼트,(주)캠프엔터테인먼트",,"CGV ICECON,월트디즈니컴퍼니코리아 유한책임회사",2019-08-07,개봉영화,장편,한국,569,"2,902,500,310","336,074","952,482,010","102,179",기타,전체관람가,일반영화
